longitude,latitude,vs30,id_admin2
36.158704685,36.203067719,429.8639368,408.0
36.155488132,36.187242802,634.88961472,408.0
36.143145899,36.191743373,390.40513357,408.0
36.174536149,36.208160482,752.5826864,408.0
36.169907275,36.204847178,698.98614261,408.0
36.146440249,36.211256812,329.8934837,408.0
36.1429464,36.211119684,317.71332969,408.0
36.151842956,36.205807141,355.88009638,408.0
36.149880701,36.196297769,386.50056096,408.0
36.141078467,36.210403792,313.34143086,408.0
36.154694973,36.202547614,382.3538704,408.0
36.16640464,36.204728006,609.5655859,408.0
36.163778683,36.199878545,642.90964237,408.0
36.14462745,36.206985653,323.25181517,408.0
36.155559944,36.189521485,595.38309805,408.0
36.146365797,36.209269062,328.11697872,408.0
36.16064109,36.1981703,559.64627891,408.0
36.159325592,36.206150243,413.03783549,408.0
36.142397014,36.205321088,322.50361717,408.0
36.154486056,36.202266808,382.58531312,408.0
36.161504178,36.198318143,587.71642512,408.0
36.16251345,36.193601358,711.50396761,408.0
36.171912034,36.201953068,789.6564183,408.0
36.170746242,36.200832415,785.7577143,408.0
36.16907423,36.198086922,789.87347369,408.0
36.164208224,36.211225982,420.90597661,408.0
36.138213062,36.191000077,380.61331661,408.0
36.173183201,36.201106982,807.05394178,408.0
36.145542894,36.209343183,324.63292961,408.0
36.168279959,36.20328873,692.62089139,408.0
36.154228361,36.193579306,489.69261515,408.0
36.166620602,36.201160252,703.07102572,408.0
36.14277598,36.204025898,329.23808198,408.0
36.147513145,36.20890279,333.24024842,408.0
36.172095643,36.198519046,807.23049575,408.0
36.162376346,36.199612718,595.83554671,408.0
36.149256954,36.200912718,359.367023,408.0
36.145612953,36.187955326,415.44701569,408.0
36.168852512,36.204197567,685.47687856,408.0
36.146105418,36.201097339,348.67310986,408.0
36.17492701,36.207816211,764.3346759,408.0
36.171030833,36.201894137,777.36835643,408.0
36.164001584,36.199174734,663.59891504,408.0
36.166821929,36.201924199,690.70296684,408.0
36.16695041,36.192604726,804.73181561,408.0
36.167166495,36.193504445,802.70640823,408.0
36.154842736,36.210319924,352.82414898,408.0
36.171737445,36.201878663,788.07755889,408.0
